docket_number|document_id|filing_date|decision_date|scope|court|plaintiff|defendant|case_header|judge_main|judge_concurring|judge_dissenting|panel|disposition|area_of_law|grouping|source_url|authorities_url|pdf_path|document_type|case_md_path
24-2088|53|2026/06/18|2026/06/18|Federal|United States Court of Appeals for the Federal Circuit|IRONBURG INVENTIONS LTD.|VALVE CORPORATION|Appeal from W.D. Wash. No. 2:17-cv-01182-TSZ (Senior Judge Zilly)|Hughes|Stark||Chen; Hughes; Stark|REVERSED AND REMANDED|Patent; IPR Estoppel; Civil Procedure||https://www.courtlistener.com/opinion/10877005/ironburg-inventions-ltd-v-valve-corporation/|https://www.courtlistener.com/opinion/10877005/ironburg-inventions-ltd-v-valve-corporation/authorities/|ResearchForced/LegalOpinions/PDFS/24-2088.OPINION.6-18-2026_2711717.pdf|OPINION|cases/24-2088.md
24-1600|87|2026/06/05|2026/06/05|Federal|United States Court of Appeals for the Federal Circuit|CAROLYN W. HAFEMAN|GOOGLE LLC; MICROSOFT CORPORATION|Appeals from USPTO PTAB Nos. IPR2022-01188 et al. (consolidated 24-1600 through 24-1605); Intervenor: USPTO Director Squires|Hughes|||Dyk; Hughes; Stoll|DISMISSED-IN-PART, AFFIRMED-IN-PART|Patent; IPR Procedure; Claim Construction; Administrative Law||https://www.courtlistener.com/opinion/10867920/hafeman-v-google-llc/|https://www.courtlistener.com/opinion/10867920/hafeman-v-google-llc/authorities/|ResearchForced/LegalOpinions/PDFS/24-1600.OPINION.6-5-2026_2705463.pdf|OPINION|cases/24-1600.md
24-2316|57|2026/06/05|2026/06/05|Federal|United States Court of Appeals for the Federal Circuit|INTERNATIONAL RIGHTS ADVOCATES|MARKWAYNE MULLIN (Sec. DHS); RODNEY S. SCOTT (Commr. CBP)|Appeal from U.S. Court of International Trade No. 1:23-cv-00165-CRK (Judge Kelly)|Stoll|||Reyna; Taranto; Stoll|AFFIRMED|Administrative Law; Trade; Article III Standing; Human Rights; Customs||https://www.courtlistener.com/opinion/10867892/international-rights-advocates-v-mullin/|https://www.courtlistener.com/opinion/10867892/international-rights-advocates-v-mullin/authorities/|ResearchForced/LegalOpinions/PDFS/24-2316.OPINION.6-5-2026_2705445.pdf|OPINION|cases/24-2316.md
25-1045|78|2026/06/04|2026/06/04|Federal|United States Court of Appeals for the Federal Circuit|OLLNOVA TECHNOLOGIES LTD.|ECOBEE TECHNOLOGIES ULC DBA ECOBEE|Appeals from E.D. Tex. No. 2:22-cv-00072-JRG (Judge Gilstrap) (consolidated 25-1045 25-1046)|Chen|||Chen; Cunningham; Stark|AFFIRMED-IN-PART, DISMISSED-IN-PART, VACATED AND REMANDED|Patent; Section 101 Eligibility; Jury Procedure; Infringement; Damages||https://www.courtlistener.com/opinion/10864150/ollnova-technologies-ltd-v-ecobee-technologies-ulc/|https://www.courtlistener.com/opinion/10864150/ollnova-technologies-ltd-v-ecobee-technologies-ulc/authorities/|ResearchForced/LegalOpinions/PDFS/25-1045.OPINION.6-4-2026_2704652.pdf|OPINION|cases/25-1045.md
26-1575|109|2026/06/17|2026/06/17|Federal|United States Court of Appeals for the Federal Circuit|MEGAN JACKLER; BRANDON JAROCH|DEPARTMENT OF JUSTICE; DIRECTOR OF OPM|Petition for review of MSPB Nos. CF-0752-26-0069-I-1; DA-0752-25-0328-I-1; DA-0752-25-0330-I-1|Per Curiam|||Moore (CJ); Lourie; Dyk; Prost; Reyna; Taranto; Chen; Hughes; Stoll; Cunningham; Stark (Newman not participating)|PETITION FOR HEARING EN BANC GRANTED|Federal Employment; Merit Systems Protection Board; Administrative Law; En Banc Procedure||https://www.courtlistener.com/docket/?q=26-1575||ResearchForced/LegalOpinions/PDFS/26-1575.ORDER.6-17-2026_2710901.pdf|ORDER|cases/26-1575.md
